r (mm),uz_root1 (km/s),cbt_root1 (m),uz0_root1 (m/s),uz_root2 (km/s),cbt_root2 (m),uz0_root2 (m/s),uz_root3 (km/s),cbt_root3 (m),uz0_root3 (m/s),uz_root4 (km/s),cbt_root4 (m),uz0_root4 (m/s)
-17.006419191696036,85.50401501446305,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),85.50401501446305,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),85.8506148594146,0.028473443091474565,(2512685.478022703+0j),92.09365699642932,3.215276048984602e-07,(8443.592573555234+0j)
-16.988724235863124,85.43127501819298,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),85.43127501819298,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),85.76450792426293,0.028473443091474565,(2512685.478022703+0j),92.0935266795586,3.215276048984602e-07,(8443.592573555234+0j)
-16.971029280030216,85.35991985786472,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),85.35991985786472,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),85.68002358667165,0.028473443091474565,(2512685.478022703+0j),92.09339082050371,3.215276048984602e-07,(8443.592573555234+0j)
-16.953334324197307,85.28995413172122,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),85.28995413172122,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),85.5971679190862,0.028473443091474565,(2512685.478022703+0j),92.09324905803197,3.215276048984602e-07,(8443.592573555234+0j)
-16.9356393683644,85.22138245299806,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),85.22138245299806,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),85.5159470162133,0.028473443091474565,(2512685.478022703+0j),92.09310099882052,3.215276048984602e-07,(8443.592573555234+0j)
-16.917944412531494,85.15420944997759,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),85.15420944997759,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),85.4363669951112,0.028473443091474565,(2512685.478022703+0j),92.09294621381206,3.215276048984602e-07,(8443.592573555234+0j)
-16.900249456698585,85.0884397660432,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),85.0884397660432,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),85.3584339952803,0.028473443091474565,(2512685.478022703+0j),92.09278423406228,3.215276048984602e-07,(8443.592573555234+0j)
-16.882554500865677,85.02407805973391,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),85.02407805973391,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),85.28215417875438,0.028473443091474565,(2512685.478022703+0j),92.09261454599442,3.215276048984602e-07,(8443.592573555234+0j)
-16.86485954503277,84.96112900479906,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),84.96112900479906,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),85.20753373019197,0.028473443091474565,(2512685.478022703+0j),92.09243658596004,3.215276048984602e-07,(8443.592573555234+0j)
-16.84716458919986,84.89959729025337,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),84.89959729025337,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),85.13457885696829,0.028473443091474565,(2512685.478022703+0j),92.09224973398425,3.215276048984602e-07,(8443.592573555234+0j)
-16.82946963336695,84.83948762043205,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),84.83948762043205,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),85.06329578926764,0.028473443091474565,(2512685.478022703+0j),92.09205330654935,3.215276048984602e-07,(8443.592573555234+0j)
-16.811774677534043,84.78080471504632,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),84.78080471504632,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),84.99369078017612,0.028473443091474565,(2512685.478022703+0j),92.09184654824006,3.215276048984602e-07,(8443.592573555234+0j)
-16.794079721701138,84.72355330923898,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),84.72355330923898,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),84.92577010577484,0.028473443091474565,(2512685.478022703+0j),92.09162862203466,3.215276048984602e-07,(8443.592573555234+0j)
-16.77638476586823,84.66773815364036,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),84.66773815364036,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),84.8595400652335,0.028473443091474565,(2512685.478022703+0j),92.09139859797949,3.215276048984602e-07,(8443.592573555234+0j)
-16.75868981003532,84.61336401442432,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),84.61336401442432,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),84.79500698090443,0.028473443091474565,(2512685.478022703+0j),92.09115543992316,3.215276048984602e-07,(8443.592573555234+0j)
-16.740994854202413,84.56043567336478,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),84.56043567336478,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),84.73217719841709,0.028473443091474565,(2512685.478022703+0j),92.09089798991175,3.215276048984602e-07,(8443.592573555234+0j)
-16.723299898369504,84.50895792789201,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),84.50895792789201,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),84.67105708677296,0.028473443091474565,(2512685.478022703+0j),92.09062494974926,3.215276048984602e-07,(8443.592573555234+0j)
