p0 [Pa],cbt [m],n0 [m^-3],uz0 [m/s],u0 [m/s],rp [m],Tp [K],rrmse
232.8520735377974,0.015432525680037331,2.5e+19,2676583.344395877,2336.6923389930867,0.01895726369053996,2901125.0,0.09708952483939866
240.99578980159325,0.01575261123192115,2.5e+19,2703976.173223828,2336.6923389930867,0.01895726369053996,2949477.0833333335,0.09980529918378783
249.18919502236793,0.016066124114445655,2.5e+19,2731207.155512005,2336.6923389930867,0.01895726369053996,2997829.166666667,0.10240001246993895
257.42864906283813,0.01637349021279938,2.5e+19,2758279.9083597744,2336.6923389930867,0.01895726369053996,3046181.25,0.10488232674407749
265.7111022304346,0.01667508661530356,2.5e+19,2785197.91134109,2336.6923389930867,0.01895726369053996,3094533.3333333335,0.10726011159704744
274.03397476117203,0.01697124941313493,2.5e+19,2811964.5138111887,2336.6923389930867,0.01895726369053996,3142885.416666667,0.10954051824218025
282.3950640922335,0.017262279945512177,2.5e+19,2838582.9417183446,2336.6923389930867,0.01895726369053996,3191237.5,0.11173005095379662
290.79247286425607,0.01754844985459949,2.5e+19,2865056.303961166,2336.6923389930867,0.01895726369053996,3239589.5833333335,0.11383463346274492
299.2245525464756,0.01783000521749246,2.5e+19,2891387.598328169,2336.6923389930867,0.01895726369053996,3287941.666666667,0.11585966937567904
307.68985894768565,0.018107169954349158,2.5e+19,2917579.71705275,2336.6923389930867,0.01895726369053996,3336293.75,0.11781009647168678
316.18711684886284,0.018380148662805997,2.5e+19,2943635.4520137673,2336.6923389930867,0.01895726369053996,3384645.8333333335,0.11969043513409994
324.7151916931138,0.01864912899327487,2.5e+19,2969557.499608969,2336.6923389930867,0.01895726369053996,3432997.916666667,0.12150483136562754
333.2730667771887,0.01891428365354647,2.5e+19,2995348.4653263176,2336.6923389930867,0.01895726369053996,3481350.0,0.12325709490665808
222.5050095616173,0.013786895232025318,2.875e+19,2211062.0716158724,2336.6923389930867,0.01895726369053996,2320900.0,0.08204031311017251
232.98512613929262,0.014199877892451411,2.875e+19,2239273.265165276,2336.6923389930867,0.01895726369053996,2369252.0833333335,0.08598749656596152
243.57063115754156,0.014600197215802158,2.875e+19,2267276.627620782,2336.6923389930867,0.01895726369053996,2417604.1666666665,0.0897056518645257
254.2481813662149,0.014989115273099705,2.875e+19,2295077.920202171,2336.6923389930867,0.01895726369053996,2465956.25,0.09321418038292487
265.0075472528964,0.015367678373196315,2.875e+19,2322682.633564794,2336.6923389930867,0.01895726369053996,2514308.3333333335,0.09653102029093442
275.84075174826296,0.01573676682685608,2.875e+19,2350096.005487547,2336.6923389930867,0.01895726369053996,2562660.4166666665,0.09967246123783086
286.7414740044785,0.016097130753702678,2.875e+19,2377323.0370918713,2336.6923389930867,0.01895726369053996,2611012.5,0.10265316603853886
297.70462898262696,0.01644941644603777,2.875e+19,2404368.5077387276,2336.6923389930867,0.01895726369053996,2659364.5833333335,0.10548628153345564
308.72606614200146,0.016794186172765943,2.875e+19,2431236.9887334257,2336.6923389930867,0.01895726369053996,2707716.6666666665,0.10818358164980649
319.8023503285777,0.0171319333201219,2.875e+19,2457932.855953327,2336.6923389930867,0.01895726369053996,2756068.75,0.11075561542280701
330.9306003368264,0.017463094149499765,2.875e+19,2484460.3015004764,2336.6923389930867,0.01895726369053996,2804420.8333333335,0.11321184750001642
342.1083685391166,0.01778805705651622,2.875e+19,2510823.344470034,2336.6923389930867,0.01895726369053996,2852772.916666667,0.11556078602789173
353.3335501505795,0.018107169954349155,2.875e+19,2537025.8409154373,2336.6923389930867,0.01895726369053996,2901125.0,0.11781009647168673
364.60431414091596,0.01842074622844947,2.875e+19,2563071.493082604,2336.6923389930867,0.01895726369053996,2949477.0833333335,0.11996670167128286
375.91905013424645,0.018729069588754844,2.875e+19,2588963.8579779654,2336.6923389930867,0.01895726369053996,2997829.166666667,0.12203686921213266
387.27632723875865,0.019032398060851864,2.875e+19,2614706.3553283433,2336.6923389930867,0.01895726369053996,3046181.25,0.12402628747063145
398.67486186227546,0.019330967297263944,2.875e+19,2640302.274984783,2336.6923389930867,0.01895726369053996,3094533.3333333335,0.12594013172646795
410.1134923560213,0.01962499334651346,2.875e+19,2665754.783817356,2336.6923389930867,0.01895726369053996,3142885.416666667,0.127783121651959
421.5911588894607,0.019914674985724145,2.875e+19,2691066.932143167,2336.6923389930867,0.01895726369053996,3191237.5,0.12955957135803214
433.1068873634379,0.020200195698886234,2.875e+19,2716241.659725824,2336.6923389930867,0.01895726369053996,3239589.5833333335,0.13127343303342792
444.659776463423,0.020481725365173863,2.875e+19,2741281.8013808737,2336.6923389930867,0.01895726369053996,3287941.666666667,0.13292833507503476
456.24898717091264,0.02075942170824762,2.875e+19,2766190.0922185355,2336.6923389930867,0.01895726369053996,3336293.75,0.13452761548045342
467.8737342117141,0.021033431547175747,2.875e+19,2790969.172552124,2336.6923389930867,0.01895726369053996,3384645.8333333335,0.13607435116192487
479.5332790395502,0.0213038918816391,2.875e+19,2815621.5924979653,2336.6923389930867,0.01895726369053996,3432997.916666667,0.13757138374357492
491.2269240439874,0.021570930837875122,2.875e+19,2840149.8162902365,2336.6923389930867,0.01895726369053996,3481350.0,0.13902134232072666
326.7100308659257,0.016189786050035074,3.25e+19,2109273.1125601702,2336.6923389930867,0.01895726369053996,2320900.0,0.10340596841311252
340.79801467643387,0.016585192792975868,3.25e+19,2136260.4288084237,2336.6923389930867,0.01895726369053996,2369252.0833333335,0.10655731310484787
354.96171801251,0.016971249413134954,3.25e+19,2163049.626008607,2336.6923389930867,0.01895726369053996,2417604.1666666665,0.1095405182421808
369.19696505122903,0.017348629625705672,3.25e+19,2189646.187529902,2336.6923389930867,0.01895726369053996,2465956.25,0.1123700900630008
383.50029396113496,0.017717922026056255,3.25e+19,2216055.3394778874,2336.6923389930867,0.01895726369053996,2514308.3333333335,0.11505887474012987
397.8687840821969,0.018079645087804214,3.25e+19,2242282.0675013666,2336.6923389930867,0.01895726369053996,2562660.4166666665,0.11761827926028608
412.299930411919,0.01843425886891564,3.25e+19,2268331.132204112,2336.6923389930867,0.01895726369053996,2611012.5,0.12005846324705746
426.7915513260188,0.018782174273275085,3.25e+19,2294207.083301054,2336.6923389930867,0.01895726369053996,2659364.5833333335,0.12238850379849435
441.3417199610894,0.019123760468309388,3.25e+19,2319914.27264221,2336.6923389930867,0.01895726369053996,2707716.6666666665,0.12461653644216922
455.94871264978707,0.019459350891870963,3.25e+19,2345456.8662135345,2336.6923389930867,0.01895726369053996,2756068.75,0.12674987547288638
470.61096978303806,0.019789248165874643,3.25e+19,2370838.855211574,2336.6923389930867,0.01895726369053996,2804420.8333333335,0.12879511672549357
485.3270658218445,0.020113728152760996,3.25e+19,2396064.0662782686,2336.6923389930867,0.01895726369053996,2852772.916666667,0.13075822548428773
500.0956861102317,0.020433043332658458,3.25e+19,2421136.1709726243,2336.6923389930867,0.01895726369053996,2901125.0,0.13264461185253512
514.9156087886047,0.02074742563688134,3.25e+19,2446058.6945480695,2336.6923389930867,0.01895726369053996,2949477.0833333335,0.1344591955491253
529.7856905641924,0.021057088842363035,3.25e+19,2470835.0240968876,2336.6923389930867,0.01895726369053996,2997829.166666667,0.1362064617836211
544.7048554211841,0.021362230608510065,3.25e+19,2495468.4161168644,2336.6923389930867,0.01895726369053996,3046181.25,0.13789050958975466
559.6720855881761,0.02166303422056754,3.25e+19,2519962.003549687,2336.6923389930867,0.01895726369053996,3094533.3333333335,0.13951509376895427
574.6864142511874,0.021959670090350148,3.25e+19,2544318.802335649,2336.6923389930867,0.01895726369053996,3142885.416666667,0.1410836614048535
589.7469196257925,0.02225229705502136,3.25e+19,2568541.717524847,2336.6923389930867,0.01895726369053996,3191237.5,0.1425993837515738
604.8527200944445,0.0225410635067226,3.25e+19,2592633.54898117,2336.6923389930867,0.01895726369053996,3239589.5833333335,0.14406518416779474
620.0029701838808,0.022826108379679973,3.25e+19,2616596.9967118655,2336.6923389930867,0.01895726369053996,3287941.666666667,0.14548376266033114
635.1968572093845,0.023107562016564304,3.25e+19,2640434.665852449,2336.6923389930867,0.01895726369053996,3336293.75,0.14685761751158122
